ptp,n_perm,mean_mouse_error,n_perm_less_mouse_error,percentile_sim_mouse_error,qc_fail_mouse_error
sub_001,10000,29.424218522187132,0,0,FALSE
sub_002,10000,40.79644461206449,0,0,FALSE
sub_003,10000,48.65495672491028,0,0,FALSE
sub_004,10000,32.23624536291635,0,0,FALSE
sub_005,10000,111.9844807751013,0,0,FALSE
sub_006,10000,48.39592200800252,0,0,FALSE
sub_007,10000,34.592360135330274,0,0,FALSE
sub_008,10000,28.036456991562556,0,0,FALSE
sub_009,10000,99.81607357655275,0,0,FALSE
sub_010,10000,70.83815808352836,0,0,FALSE
sub_011,10000,98.20188773666735,0,0,FALSE
sub_012,10000,52.68345621923692,0,0,FALSE
sub_013,10000,27.748053508501336,0,0,FALSE
sub_014,10000,62.240625538329475,0,0,FALSE
sub_015,10000,43.80692916534514,0,0,FALSE
sub_016,10000,33.29668152541349,0,0,FALSE
sub_017,10000,80.77459855235958,0,0,FALSE
sub_018,10000,47.48074489273692,0,0,FALSE
sub_019,10000,62.66842954873545,0,0,FALSE
sub_020,10000,84.54247269337016,0,0,FALSE
sub_021,10000,45.27008581765526,0,0,FALSE
sub_022,10000,39.18733994346697,0,0,FALSE
sub_023,10000,58.9543943776233,0,0,FALSE
sub_024,10000,43.11033506188384,0,0,FALSE
sub_025,10000,25.55413279016687,0,0,FALSE
sub_026,10000,41.230111569214245,0,0,FALSE
sub_027,10000,20.176248282954067,0,0,FALSE
sub_028,10000,35.76228054232264,0,0,FALSE
sub_029,10000,165.83799243912145,321,3.21,FALSE
sub_030,10000,64.83982863427687,0,0,FALSE
sub_031,10000,25.66414747241618,0,0,FALSE
sub_032,10000,35.382510415446546,0,0,FALSE
sub_033,10000,54.443091728300686,0,0,FALSE
sub_034,10000,64.2721173898528,0,0,FALSE
sub_035,10000,92.41252426263692,0,0,FALSE
sub_036,10000,30.107180977385944,0,0,FALSE
sub_037,10000,36.90734768560988,0,0,FALSE
sub_038,10000,37.93619586598597,0,0,FALSE
sub_039,10000,23.46829834331979,0,0,FALSE
sub_040,10000,58.62966452989269,0,0,FALSE
sub_041,10000,52.571259843461945,0,0,FALSE
sub_042,10000,76.89992577058331,0,0,FALSE
sub_043,10000,29.43454506036367,0,0,FALSE
sub_044,10000,41.42822558262948,0,0,FALSE
sub_045,10000,69.1981968220747,0,0,FALSE
sub_046,10000,40.591324108315746,0,0,FALSE
sub_047,10000,134.40292680147854,0,0,FALSE
