ptp,condition,hidden_pa_img_type,hidden_pa_img_row_number_across_blocks,border_dist_closest,counterbalancing,mouse_error_mean,mouse_error_sd,mouse_error_n,y_hat_three_param,y_hat_two_param
sub_001,schema_c,all_pa,1,1,cb2,241.56613157239482,NA,1,NA,NA
sub_001,schema_c,all_pa,1,2,cb2,161.99737706827835,NA,1,NA,NA
sub_001,schema_c,all_pa,1,3,cb2,201.19284084692225,37.29894660542592,2,NA,NA
sub_001,schema_c,all_pa,1,4,cb2,144.66283231508373,18.172447610058146,2,NA,NA
sub_001,schema_c,all_pa,1,all,cb2,182.54580916078086,42.87831442544574,6,181.96217736909202,172.815127469548
sub_001,schema_c,all_pa,2,1,cb2,52.18859116561361,NA,1,NA,NA
sub_001,schema_c,all_pa,2,2,cb2,262.2588359846088,NA,1,NA,NA
sub_001,schema_c,all_pa,2,3,cb2,35.90944760634902,23.901029877353068,2,NA,NA
sub_001,schema_c,all_pa,2,4,cb2,12.587925537519023,7.019791329386355,2,NA,NA
sub_001,schema_c,all_pa,2,all,cb2,68.57369557299309,96.75294418837814,6,73.00011534065473,91.80874064504485
sub_001,schema_c,all_pa,3,1,cb2,49.339946269240734,NA,1,NA,NA
sub_001,schema_c,all_pa,3,2,cb2,24.749245988553938,NA,1,NA,NA
sub_001,schema_c,all_pa,3,3,cb2,43.66990506815381,33.49774979996782,2,NA,NA
sub_001,schema_c,all_pa,3,4,cb2,67.19893496571238,64.82607876412308,2,NA,NA
sub_001,schema_c,all_pa,3,all,cb2,49.304478720921175,36.41812848341235,6,40.05710686485611,48.77376756449963
sub_001,schema_c,all_pa,4,1,cb2,31.95151088527055,NA,1,NA,NA
sub_001,schema_c,all_pa,4,2,cb2,3.878247284786405,NA,1,NA,NA
sub_001,schema_c,all_pa,4,3,cb2,22.40501176282004,3.2285027180051147,2,NA,NA
sub_001,schema_c,all_pa,4,4,cb2,48.11706133810864,6.703433847943617,2,NA,NA
sub_001,schema_c,all_pa,4,all,cb2,29.47898406198572,17.387975068198237,6,30.09729344692255,25.911262759100165
sub_001,schema_c,all_pa,5,1,cb2,9.480686834378746,NA,1,NA,NA
sub_001,schema_c,all_pa,5,2,cb2,29.293933706519393,NA,1,NA,NA
sub_001,schema_c,all_pa,5,3,cb2,27.025255409262975,7.3393868349188125,2,NA,NA
sub_001,schema_c,all_pa,5,4,cb2,12.832761950573355,8.491813729952423,2,NA,NA
sub_001,schema_c,all_pa,5,all,cb2,19.748442543428467,10.2379489691607,6,27.086096597887803,13.765463922451012
sub_001,schema_c,all_pa,6,1,cb2,23.368494770771235,NA,1,NA,NA
sub_001,schema_c,all_pa,6,2,cb2,11.16993126666199,NA,1,NA,NA
sub_001,schema_c,all_pa,6,3,cb2,27.075255699940588,10.56691258362842,2,NA,NA
sub_001,schema_c,all_pa,6,4,cb2,14.550236472497293,4.635644094750386,2,NA,NA
sub_001,schema_c,all_pa,6,all,cb2,19.6315683970515,8.731203685100919,6,26.175707408537107,7.312958799499315
sub_001,schema_c,all_pa,7,1,cb2,35.576840048710935,NA,1,NA,NA
sub_001,schema_c,all_pa,7,2,cb2,5.733824160362186,NA,1,NA,NA
sub_001,schema_c,all_pa,7,3,cb2,28.233220383646334,28.340403887758715,2,NA,NA
sub_001,schema_c,all_pa,7,4,cb2,41.117678953480606,16.984909889115407,2,NA,NA
sub_001,schema_c,all_pa,7,all,cb2,30.00207714722117,19.824543658986965,6,25.90046519833345,3.885039160645461
